,MatchId,MapName,RoundNum,RoundTick,BombPlantedA,BombPlantedB,AttackerSide,VictimSide,AttackerSteamId,EventType,VictimSteamId,TAlive,CTAlive,TTotalHp,CTTotalHp,ClosestDistToA_T,ClosestDistToB_T,ChangeClosestDistToA_T,ChangeClosestDistToB_T,ClosestDistToA_CT,ClosestDistToB_CT,ChangeClosestDistToA_CT,ChangeClosestDistToB_CT,RoundEndReason,CTBuyType,TBuyType,WinningSide,TWinProb
4467,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,1679,False,False,,,,PositionUpdate,,5.0,5.0,500.0,400.0,24.0,30.0,-1.0,1.0,15.0,5.0,2.0,-4.0,BombDefused,Pistol,Pistol,CT,0.7855243004357704
4468,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,1714,False,False,CT,T,7.656119799068226e+16,DamageDealt,7.656119811492987e+16,5.0,5.0,486.0,400.0,24.0,30.0,-1.0,1.0,15.0,5.0,2.0,-4.0,BombDefused,Pistol,Pistol,CT,0.7531335741657778
4469,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,1808,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,25.0,29.0,1.0,-1.0,15.0,5.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.7532087768044111
4470,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,1937,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,26.0,28.0,1.0,-1.0,13.0,10.0,-2.0,5.0,BombDefused,Pistol,Pistol,CT,0.75477851718036
4471,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,2066,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,26.0,24.0,0.0,-4.0,11.0,11.0,-2.0,1.0,BombDefused,Pistol,Pistol,CT,0.7591094283526827
4472,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,2195,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,30.0,23.0,4.0,-1.0,9.0,12.0,-2.0,1.0,BombDefused,Pistol,Pistol,CT,0.7562208731829652
4473,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,2324,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,31.0,19.0,1.0,-4.0,12.0,9.0,3.0,-3.0,BombDefused,Pistol,Pistol,CT,0.7602995419896781
4474,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,2453,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,32.0,20.0,1.0,1.0,13.0,7.0,1.0,-2.0,BombDefused,Pistol,Pistol,CT,0.7573222203434997
4475,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,2582,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,31.0,19.0,-1.0,-1.0,14.0,10.0,1.0,3.0,BombDefused,Pistol,Pistol,CT,0.7612167525992743
4476,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,2711,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,31.0,19.0,0.0,0.0,7.0,10.0,-7.0,0.0,BombDefused,Pistol,Pistol,CT,0.7568258199442653
